ax,ay,az,gx,gy,gz,temperature
Initializing MPU6050...
MPU6050 connected.
0.23, -0.46, 0.06, -1.94, 0.68, 0.08, 30.06 °C
0.23, -0.46, 0.06, -2.31, 1.04, 0.42, 30.08 °C
0.23, -0.46, 0.07, -2.24, 0.82, 0.12, 30.09 °C
0.23, -0.46, 0.06, -2.18, 0.86, 0.63, 30.08 °C
0.22, -0.46, 0.06, -2.18, 1.23, 1.08, 30.10 °C
0.23, -0.46, 0.06, -1.79, 0.29, -0.79, 30.12 °C
0.23, -0.46, 0.07, -2.20, 0.85, -0.02, 30.12 °C
0.23, -0.46, 0.06, -2.09, 0.79, 0.89, 30.12 °C
0.23, -0.46, 0.06, -2.11, 0.76, 0.68, 30.14 °C
0.23, -0.46, 0.06, -2.05, 0.89, -0.03, 30.14 °C
0.22, -0.46, 0.06, -2.13, 0.75, 0.69, 30.14 °C
0.22, -0.46, 0.06, -1.98, 0.84, 0.66, 30.15 °C
0.23, -0.46, 0.06, -2.23, 0.91, -0.07, 30.16 °C
0.23, -0.46, 0.06, -2.12, 0.82, 0.24, 30.18 °C
0.23, -0.46, 0.06, -2.08, 1.08, -1.07, 30.17 °C
0.23, -0.46, 0.06, -2.18, 0.79, -0.02, 30.18 °C
0.22, -0.46, 0.06, -2.08, 0.84, -0.70, 30.20 °C
0.23, -0.46, 0.06, -2.09, 0.87, 0.02, 30.19 °C
0.23, -0.46, 0.06, -2.10, 0.96, 0.23, 30.21 °C
0.23, -0.46, 0.06, -2.24, 1.18, 0.05, 30.23 °C
0.23, -0.46, 0.06, -2.09, 0.92, 0.63, 30.20 °C
0.23, -0.46, 0.06, -2.02, 0.47, -0.15, 30.21 °C
0.23, -0.46, 0.06, -1.98, 0.80, -0.53, 30.24 °C
0.23, -0.46, 0.06, -3.04, 0.86, 0.15, 30.23 °C
0.23, -0.46, 0.06, -1.60, 1.02, -0.11, 30.24 °C
0.23, -0.46, 0.06, -1.93, 1.79, 0.40, 30.24 °C
0.23, -0.46, 0.06, -2.64, -0.27, -1.04, 30.26 °C
0.23, -0.46, 0.06, -3.01, 1.08, 0.72, 30.27 °C
0.23, -0.46, 0.06, -2.18, 1.31, 1.08, 30.27 °C
0.23, -0.46, 0.06, -1.87, 0.41, -0.03, 30.27 °C
0.23, -0.46, 0.06, -1.75, 0.15, -0.83, 30.27 °C
0.23, -0.46, 0.07, -1.92, 0.54, 0.05, 30.27 °C
0.23, -0.46, 0.06, -2.05, 1.17, 0.21, 30.29 °C
0.23, -0.46, 0.06, -1.62, 0.74, -0.41, 30.30 °C
0.23, -0.46, 0.06, -3.01, 1.05, 0.69, 30.29 °C
0.23, -0.46, 0.06, -2.25, 0.92, 0.48, 30.31 °C
0.23, -0.46, 0.06, -2.06, 0.85, 0.72, 30.32 °C
0.23, -0.46, 0.06, -1.95, 0.58, -0.72, 30.32 °C
0.23, -0.46, 0.06, -2.27, 0.92, 0.29, 30.33 °C
0.23, -0.46, 0.06, -2.08, 0.87, 0.29, 30.33 °C
0.23, -0.46, 0.06, -2.03, 0.80, 0.38, 30.35 °C
0.23, -0.46, 0.06, -2.26, 1.27, 0.67, 30.34 °C
0.23, -0.46, 0.06, -2.11, 0.96, 0.01, 30.35 °C
0.23, -0.46, 0.06, -2.10, 0.76, -0.63, 30.34 °C
0.23, -0.46, 0.06, -2.63, 1.90, 0.88, 30.36 °C
0.23, -0.46, 0.06, -2.31, 1.09, 0.11, 30.37 °C
0.23, -0.46, 0.06, -2.10, 0.85, -0.65, 30.38 °C
0.23, -0.46, 0.06, -1.41, 1.49, -0.27, 30.37 °C
0.23, -0.46, 0.06, -1.98, 1.32, 0.07, 30.38 °C
0.23, -0.46, 0.07, -3.43, 1.25, 0.63, 30.38 °C
0.23, -0.46, 0.06, -2.23, 0.63, 0.40, 30.41 °C
0.23, -0.46, 0.06, -1.24, 1.20, -0.31, 30.41 °C
0.23, -0.46, 0.06, -3.03, 1.49, 0.69, 30.41 °C
0.23, -0.46, 0.06, -1.12, 0.08, -1.14, 30.43 °C
0.23, -0.46, 0.06, -2.48, 0.52, 0.19, 30.43 °C
0.23, -0.46, 0.06, -2.79, 0.41, 0.18, 30.42 °C
0.23, -0.46, 0.06, -2.26, 1.29, 1.04, 30.43 °C
0.23, -0.46, 0.06, -1.95, 0.43, -0.09, 30.43 °C
0.23, -0.46, 0.06, -2.09, 0.75, -0.04, 30.44 °C
0.23, -0.46, 0.06, -2.15, 1.15, 0.74, 30.43 °C
0.23, -0.46, 0.06, -2.11, 0.90, -0.14, 30.44 °C
0.23, -0.46, 0.06, -1.44, 0.99, 0.13, 30.45 °C
0.23, -0.46, 0.06, -2.35, 1.04, 0.89, 30.47 °C
0.23, -0.46, 0.06, -2.08, 1.13, -0.04, 30.44 °C
0.23, -0.46, 0.06, -2.07, 0.86, -0.29, 30.49 °C
0.23, -0.46, 0.06, -2.10, 0.82, 0.53, 30.47 °C
